AL ,AUTAUGA ,6649 ,358 ,5.38 ,361.59 ,292.63 ,654.22 ,01000 ,,
AL ,BALDWIN ,29541 ,1817 ,6.15 ,361.59 ,292.63 ,654.22 ,01010 ,,
AL ,BARBOUR ,4649 ,  ,  ,352.45 ,285.23 ,637.68 ,01020 ,,
AL ,BIBB ,3728 ,417 ,11.19 ,383.41 ,310.29 ,693.7 ,01030 ,,
AL ,BLOUNT ,6980 ,1668 ,23.90 ,386.2 ,312.56 ,698.76 ,01040 ,,
AL ,BULLOCK ,1930 ,  ,  ,327.15 ,264.76 ,591.91 ,01050 ,,
AL ,BUTLER ,4209 ,  ,  ,377.14 ,305.22 ,682.36 ,01060 ,,
AL ,CALHOUN ,22908 ,16 ,0.07 ,378.88 ,306.63 ,685.51 ,01070 ,,
AL ,CHAMBERS ,7302 ,  ,  ,327.15 ,264.76 ,591.91 ,01080 ,,
AL ,CHEROKEE ,4299 ,  ,  ,357.39 ,289.23 ,646.62 ,01090 ,,
AL ,CHILTON ,6180 ,1288 ,20.84 ,396.02 ,320.5 ,716.52 ,01100 ,,
AL ,CHOCTAW ,3121 ,  ,  ,354.71 ,287.07 ,641.78 ,01110 ,,
AL ,CLARKE ,5357 ,  ,  ,327.15 ,264.76 ,591.91 ,01120 ,,
AL ,CLAY ,2981 ,  ,  ,327.15 ,264.76 ,591.91 ,01130 ,,
AL ,CLEBURNE ,2680 ,  ,  ,335.72 ,271.69 ,607.41 ,01140 ,,
AL ,COFFEE ,7982 ,  ,  ,331.3 ,268.12 ,599.42 ,01150 ,,
AL ,COLBERT ,11211 ,  ,  ,358.47 ,290.11 ,648.58 ,01160 ,,
AL ,CONECUH ,2781 ,  ,  ,392.15 ,317.37 ,709.52 ,01170 ,,
AL ,COOSA ,2343 ,  ,  ,327.15 ,264.76 ,591.91 ,01180 ,,
AL ,COVINGTON ,8294 ,  ,  ,347.75 ,281.44 ,629.19 ,01190 ,,
AL ,CRENSHAW ,2981 ,  ,  ,327.15 ,264.76 ,591.91 ,01200 ,,
AL ,CULLMAN ,14544 ,50 ,0.34 ,360.27 ,291.57 ,651.84 ,01210 ,,
AL ,DALE ,10695 ,  ,  ,327.68 ,265.2 ,592.88 ,01220 ,,
